Titulo;Objeto;Autor(es);Ano;Instituição;Região;Banco;Metodologia;Local de pesquisa;Area de conhecimento;Tipo do trabalho;Acesso;;
Potencialidade Da Agricultura Urbana Na Recuperação Das Áreas De Risco À Inundação Do Baixo Curso Do Rio Coaçú: O Caso Da Comunidade São Miguel Do Brejo, Fortaleza, Ce, Brasil;Recuperação Das Áreas De Risco À Inundação Do Baixo Curso Do Rio Coaçú; Ana Carla Alves Gomes;2018;Universidade Estadual do Ceará;Nordeste;BDTD;Estudo compartativo;MIGUEL DO BREJO - FORTALEZA;Geografia;Dissertação;https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=85139;-;
A Agricultura Urbana Brasileira Frente Aos Desafios Do Cenário Do Saneamento Urbano Brasileiro; contexto da agricultura urbana e segurança alimentar;Anna Beatriz Torres;2017;Fundação Oswaldo Cruz;Sudeste;BDTD;Revisão bibliografica;Brasil;Saúde Pública;Dissertação;https://www.arca.fiocruz.br/handle/icict/39677;-;
Vertical Farm (Fazenda Vertical): Análise Da Qualidade Do Investimento Usando Protótipo De Empreendimento Imobiliário;Fazenda vertical;Cristiane de Avila Amaral;2018;Universidade de São Paulo;Sudeste;BDTD;Pesquisa exploratoria ;-;Inovação na Construção Civil;Dissertação;https://teses.usp.br/teses/disponiveis/3/3153/tde-09042018-151952/pt-br.php;;
Agricultura E Agrossilvicultura Urbana E Suas Políticas Públicas: Uma Análise No Município De Piracicaba;Politicas publicas e hortas urbanas;Daniel Azevedo Mendes de Oliveira;2018;Universidade de São Paulo;Sudeste;BDTD;Revisão bibliografica;Piracicaba;Ecologia Aplicada;Tese;https://teses.usp.br/teses/disponiveis/91/91131/tde-21012019-144052/pt-br.php;-;
Agricultura Urbana No Brasil: Um Levantamento Sobre A Produção Científica Nas Bases Scopus E Web Of Science;Repositorios ;"Deise de Oliveira Alves; Adeildo de Quadros Moura; Glauco Schultz";2019;DRd - Desenvolvimento Regional Em Debate;Sul;Google Academico ;Revisão bibliografica;Internet;-;Levantamento Bibliografico ;http://www.periodicos.unc.br/index.php/drd/article/view/1946;-;
Agroecossistemas periurbanos no município de Manaus, Amazonas;Agricultura periurbana na comunidade de Nossa Senhora de Fatima;Eliana Aparecida do Nascimento Noda;2018;Universidade Federal do Amazonas;Norte;BDTD;Pesquisa de campo;Comunidade Nossa Senhora de Fatima (Manaus);Agronomia;Tese;https://tede.ufam.edu.br/handle/tede/7158;-;
O rural e o urbano: ruralidades, meio ambiente e expansão urbana em Florianópolis;Permanencia do rural em florianópolis;Giovana Callado Ferreira;2018;Universidade Federal de Santa Catarina;Sul;BDTD;-;Florianópolis;Historia;Tese;https://repositorio.ufsc.br/handle/123456789/191167;-;
O rural e o urbano: um estudo sobre a dinâmica socioespacial no bairro operário, na cidade de Boa Vista - RR;Relação rural e urbano no bairro Operário;Hugo Arraes Alves Rocha;2017;Universidade Federal de Roraima;Norte;BDTD;Estudo de caso;Boa Vista - Roraima;Geografia;Dissertação;http://repositorio.ufrr.br:8080/jspui/handle/prefix/191;;
Agricultura urbana: o caso da Horta do Pestano - Pelotas / RS.;Horta do Pestano;José Luiz Lourenço Ribeiro;2019;Universidade Federal de Pelotas;Sudeste;BDTD;Historia oral;Três Vendas(Pelotas);Geografia;Dissertação;http://guaiaca.ufpel.edu.br:8080/handle/prefix/5542;;
Compostagem Em Áreas Urbanas: Lições Aprendidas No Projeto Feiras E Jardins Sustentáveis Da Lapa, São Paulo- Sp, Brasil;Lixo organico e  Projeto Feiras e Jardins Sustentáveis;Rafael Golin Galvão ;2019;Universidade Nove de Julho;Sudeste;BDTD;Revisão bibliografica;São Paulo;Administração;Dissertação;http://bibliotecatede.uninove.br/handle/tede/2050;;
Agricultura Urbana E Alimentação: Análise Das Hortas Urbanas Na Cidade De Palmas;Hortas urbanas;Tatiana de Oliveira Sousa;2019;Universidade Federal do Tocantins;Norte;BDTD;Exploratoria discritiva;Palmas;Economia;Dissertação;http://repositorio.uft.edu.br/handle/11612/1191;;
Uma Análise Dos Fatores Que Interferem No Crescimento Da Agricultura Urbana E Periurbana Na Cidade De São Paulo;Agricultura urbana e periurbana;Victor Bueno Sellin;2019;Universidade de São Paulo;Sudeste;BDTD;Revisão bibliografica;São Paulo;Sustentabilidade;Dissertação;https://teses.usp.br/teses/disponiveis/100/100136/tde-09082019-160510/pt-br.php;;
